task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,14.32666015625,,,,
1,14.8535795211792,12.227008819580078,,,
2,14.138242721557617,14.435272216796875,14.48145580291748,,
3,14.827807426452637,14.525120735168457,16.06171417236328,12.634428977966309,
4,15.464844703674316,14.464598655700684,18.36538314819336,14.578413963317871,14.6893892288208
