task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,48.3986930847168,,,,
1,54.65931701660156,51.73911666870117,,,
2,65.21159362792969,62.06490707397461,47.819969177246094,,
3,70.18414306640625,66.60003662109375,63.16912078857422,38.3281364440918,
4,76.14745330810547,73.74986267089844,67.5057373046875,47.625370025634766,29.554128646850586
