task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4,fid-task5,fid-task6,fid-task7,fid-task8,fid-task9
0,85.70427703857422,,,,,,,,,
1,108.94712829589844,85.81722259521484,,,,,,,,
2,109.26497650146484,158.0211944580078,69.07015228271484,,,,,,,
3,107.2355728149414,107.24945831298828,108.35971069335938,81.85377502441406,,,,,,
4,98.56068420410156,104.58336639404297,109.81903076171875,105.95933532714844,76.24060821533203,,,,,
5,96.42198181152344,122.87765502929688,110.85313415527344,98.88761901855469,98.000244140625,73.30452728271484,,,,
6,98.20344543457031,125.00349426269531,105.94235229492188,93.7551040649414,100.42308044433594,98.11820983886719,69.93956756591797,,,
7,104.30516052246094,136.0482940673828,103.90780639648438,98.43965148925781,110.51705932617188,108.58306121826172,79.6629867553711,72.939453125,,
8,105.94084167480469,118.77042388916016,112.97794342041016,103.52727508544922,103.7837142944336,102.60997772216797,99.39408111572266,105.7846450805664,76.14005279541016,
9,92.11604309082031,105.7336654663086,104.6626205444336,93.14875030517578,95.66353607177734,100.89073181152344,95.55220031738281,94.58602142333984,97.69815826416016,77.5948715209961
