task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4,fid-task5,fid-task6,fid-task7,fid-task8,fid-task9
0,85.70427703857422,,,,,,,,,
1,120.67684936523438,89.7383804321289,,,,,,,,
2,157.84066772460938,137.62156677246094,92.06786346435547,,,,,,,
3,111.0315933227539,116.6349105834961,142.25738525390625,105.0713882446289,,,,,,
4,129.0377655029297,120.67738342285156,140.8482666015625,127.63496398925781,95.3985366821289,,,,,
5,131.8002166748047,132.29971313476562,141.85890197753906,130.0688018798828,130.13673400878906,95.16255187988281,,,,
6,135.028076171875,134.83042907714844,145.8491668701172,125.77936553955078,130.49728393554688,132.6756134033203,101.97169494628906,,,
7,139.27285766601562,128.72682189941406,137.2609405517578,119.70989227294922,130.22225952148438,138.07969665527344,112.35265350341797,97.73125457763672,,
8,141.18409729003906,125.36084747314453,151.5480499267578,132.69537353515625,125.56049346923828,146.34860229492188,134.63644409179688,141.47845458984375,107.74727630615234,
9,113.90015411376953,116.96524047851562,152.10841369628906,120.02396392822266,130.31600952148438,151.56777954101562,130.93531799316406,134.29397583007812,149.00820922851562,103.39484405517578
