task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4,fid-task5,fid-task6,fid-task7,fid-task8,fid-task9
0,96.4326400756836,,,,,,,,,
1,148.84982299804688,102.71599578857422,,,,,,,,
2,129.59402465820312,110.38995361328125,99.6025619506836,,,,,,,
3,148.5491180419922,120.47855377197266,143.1367950439453,94.87549591064453,,,,,,
4,196.0375518798828,149.26898193359375,142.86265563964844,127.48939514160156,106.78297424316406,,,,,
5,123.4140853881836,120.90039825439453,148.21499633789062,133.04656982421875,138.5412139892578,107.05384826660156,,,,
6,164.6803741455078,128.3578643798828,136.48805236816406,116.97762298583984,138.32073974609375,129.5623321533203,94.46640014648438,,,
7,169.96437072753906,137.3636016845703,140.65643310546875,129.64149475097656,154.6687774658203,150.92063903808594,137.81968688964844,104.07192993164062,,
8,141.8135986328125,114.23885345458984,129.35487365722656,117.61393737792969,121.98246002197266,133.6796417236328,120.41712188720703,123.34345245361328,98.9942626953125,
9,165.34811401367188,112.14627075195312,121.59898376464844,112.4095687866211,129.5587615966797,125.10050964355469,118.05249786376953,113.14559173583984,124.6720962524414,98.46207427978516
