task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,37.93767166137695,,,,
1,44.44948196411133,56.072879791259766,,,
2,48.094268798828125,60.48872375488281,48.2232780456543,,
3,50.997222900390625,63.13032150268555,57.37861251831055,43.01603317260742,
4,52.61543655395508,68.45431518554688,62.31655502319336,47.65620803833008,32.47516632080078
