task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,23.17668342590332,,,,
1,21.978561401367188,17.646560668945312,,,
2,19.33051872253418,22.316326141357422,20.14764976501465,,
3,19.252269744873047,29.736595153808594,29.90732765197754,18.10007095336914,
4,20.942657470703125,29.89799690246582,28.780099868774414,21.3255615234375,17.702377319335938
