task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,23.17668342590332,,,,
1,81.4715347290039,13.374445915222168,,,
2,164.20912170410156,80.85164642333984,16.154767990112305,,
3,137.85208129882812,86.15221405029297,78.90205383300781,13.378617286682129,
4,151.72349548339844,132.3417510986328,98.91118621826172,66.26346588134766,13.489056587219238
