task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,35.717098236083984,,,,
1,36.63651657104492,54.91184616088867,,,
2,45.74616622924805,69.26457214355469,50.447967529296875,,
3,51.482234954833984,74.41128540039062,65.19031524658203,40.10279083251953,
4,59.53877639770508,79.41905212402344,70.1239242553711,53.33573913574219,32.18390655517578
