task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4,fid-task5,fid-task6,fid-task7,fid-task8,fid-task9
0,95.85121154785156,,,,,,,,,
1,173.0821075439453,86.48003387451172,,,,,,,,
2,165.87217712402344,104.20459747314453,81.24144744873047,,,,,,,
3,176.18734741210938,109.92445373535156,119.24857330322266,79.7818374633789,,,,,,
4,149.31805419921875,108.37686157226562,111.70469665527344,102.96741485595703,76.5131607055664,,,,,
5,162.2184295654297,114.45671844482422,115.10746765136719,97.03763580322266,100.80176544189453,71.2796401977539,,,,
6,148.60958862304688,108.90335083007812,113.14392852783203,99.32283782958984,100.57441711425781,101.95182800292969,67.0943832397461,,,
7,166.4104766845703,111.87086486816406,111.93656158447266,95.96427154541016,103.84876251220703,101.0056381225586,82.08683776855469,74.2018814086914,,
8,142.461181640625,103.90337371826172,113.3935317993164,105.83160400390625,99.2724609375,107.20889282226562,103.96321105957031,106.26123046875,76.2430419921875,
9,167.25704956054688,115.8915786743164,110.80530548095703,94.31851196289062,101.9508285522461,106.58517456054688,93.50495147705078,91.02169799804688,109.81327819824219,78.39482879638672
