task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,23.17668342590332,,,,
1,25.61202049255371,13.671712875366211,,,
2,30.827898025512695,17.196260452270508,15.07484245300293,,
3,30.931344985961914,16.69261932373047,16.712974548339844,14.391989707946777,
4,37.00568771362305,18.12772560119629,18.297109603881836,17.41843605041504,13.597639083862305
