task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,17.118366241455078,,,,
1,95.85202026367188,16.807584762573242,,,
2,111.50252532958984,88.884765625,14.878694534301758,,
3,111.79660034179688,86.19804382324219,86.70575714111328,16.352428436279297,
4,154.8288116455078,136.9824676513672,124.40287017822266,88.98904418945312,14.573540687561035
