task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,13.61446475982666,,,,
1,182.12403869628906,6.8056793212890625,,,
2,128.50430297851562,72.12838745117188,7.648266315460205,,
3,78.9678955078125,74.53351593017578,101.67644500732422,7.882169246673584,
4,140.41897583007812,89.8055648803711,166.96856689453125,107.25874328613281,8.759102821350098
