task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,36.0726432800293,,,,
1,231.84767150878906,62.28822326660156,,,
2,224.02023315429688,97.2259750366211,42.19816970825195,,
3,198.0316925048828,119.29135131835938,79.65917205810547,45.74051284790039,
4,78.6142349243164,148.82955932617188,152.9881134033203,168.34544372558594,28.275005340576172
