task_id,fid-task0,fid-task1,fid-task2,fid-task3,fid-task4
0,208.93260192871094,,,,
1,326.52276611328125,171.70448303222656,,,
2,315.5530700683594,203.45797729492188,198.90956115722656,,
3,305.6595764160156,221.81243896484375,269.1224365234375,245.13687133789062,
4,323.5068359375,282.8861389160156,288.3209533691406,269.2884521484375,165.51011657714844
