dataset,avg_fid@task0,avg_fid@task1,avg_fid@task2,avg_fid@task3,avg_fid@task4
cifar10,36.0726432800293,147.0679473876953,121.14812596638997,110.68068218231201,115.41047134399415
fmnist,17.118366241455078,56.32980251312256,71.7553284962972,75.26320743560791,103.95534687042236
imagenet32,208.93260192871094,249.1136245727539,239.30686950683594,260.4328308105469,265.9024993896484
mnist,13.61446475982666,94.46485900878906,69.4269855817159,65.76500642299652,102.64219074249267
